City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.62,90,100,14.54,TF,1694743439
1,adamstown,-25.066,-130.1015,18.7,63,100,11.64,PN,1694743440
2,qaqortoq,60.7167,-46.0333,6.16,86,100,2.93,GL,1694743440
3,iskateley,67.6803,53.1512,6.44,94,100,5.59,RU,1694743440
4,iqaluit,63.7506,-68.5145,0.85,93,75,3.09,CA,1694743214
5,hammerfest,70.6634,23.6821,5.25,87,75,1.03,NO,1694743441
6,edinburgh of the seven seas,-37.0676,-12.3116,10.64,58,27,0.47,SH,1694743441
7,natal,-5.795,-35.2094,24.36,94,75,3.6,BR,1694743223
8,waitangi,-43.9535,-176.5597,12.68,81,15,6.26,NZ,1694743442
9,georgetown,5.4112,100.3354,29.97,87,20,2.06,MY,1694743442
10,constantia,44.1833,28.65,18.38,70,99,5.64,RO,1694743442
11,egilsstadir,65.2653,-14.3948,3.95,93,100,2.57,IS,1694743443
12,smidovich,48.6,133.8167,15.33,78,93,4.34,RU,1694743443
13,ushuaia,-54.8,-68.3,0.81,75,20,1.54,AR,1694743323
14,codrington,-38.2667,141.9667,17.75,58,88,5.75,AU,1694743444
15,bredasdorp,-34.5322,20.0403,11.5,68,100,7.01,ZA,1694743444
16,puerto berrio,6.4916,-74.4033,25.41,90,100,1.06,CO,1694743303
17,avarua,-21.2078,-159.775,26.03,69,14,7.2,CK,1694743181
18,bardai,11.65,7.2333,20.5,85,100,2.86,NG,1694743446
19,ottawa,45.4112,-75.6981,13.46,89,20,2.06,CA,1694742973
20,cabugao,17.7931,120.4578,29.94,71,93,1.07,PH,1694743446
21,puerto penasco,31.3167,-113.5333,30.26,49,0,2.65,MX,1694743447
22,bethel,41.3712,-73.414,17.58,79,16,3.25,US,1694743307
23,grytviken,-54.2811,-36.5092,-4.51,97,75,1.47,GS,1694743447
24,westport,41.1415,-73.3579,21.01,74,2,1.79,US,1694743206
25,ribeira grande,38.5167,-28.7,22.1,94,100,2.24,PT,1694743448
26,klyuchi,52.2667,79.1667,12.64,76,83,3.08,RU,1694743448
27,ranot,7.7777,100.3213,28.59,65,95,4.66,TH,1694743448
28,albany,42.6001,-73.9662,14.14,73,0,0.89,US,1694743298
29,bubaque,11.2833,-15.8333,27.73,80,98,3.45,GW,1694743449
30,tiksi,71.6872,128.8694,1.45,99,100,0.74,RU,1694743449
31,port elizabeth,-33.918,25.5701,10.16,81,0,1.54,ZA,1694743450
32,goure,13.9835,10.2704,27.49,59,99,4.14,NE,1694743450
33,bilibino,68.0546,166.4372,6.94,56,80,1.37,RU,1694743450
34,lebu,-37.6167,-73.65,12.51,98,100,3.99,CL,1694743450
35,chiredzi,-21.05,31.6667,18.11,67,0,0.9,ZW,1694743451
36,cantaura,9.3057,-64.3584,27.01,59,78,0.86,VE,1694743451
37,puerto natales,-51.7236,-72.4875,1.34,99,100,1.48,CL,1694743451
38,vila franca do campo,37.7167,-25.4333,23.82,99,100,2.8,PT,1694743452
39,kralendijk,12.15,-68.2667,29.99,84,81,6.69,BQ,1694743452
40,yellowknife,62.456,-114.3525,12.45,93,75,1.03,CA,1694743453
41,college,64.8569,-147.8028,12.89,79,75,3.6,US,1694743201
42,santa cruz,-17.8,-63.1667,21.7,56,75,2.06,BO,1694743453
43,storozhevaya,43.8789,41.4514,8.85,69,0,2.76,RU,1694743453
44,itoman,26.1247,127.6694,32.43,71,40,4.12,JP,1694743453
45,puerto ayora,-0.7393,-90.3518,23.08,90,81,3.13,EC,1694743454
46,benghazi,32.1167,20.0667,24.28,67,0,4.34,LY,1694743454
47,buritis,-15.6178,-46.4233,26.84,40,42,1.84,BR,1694743454
48,west island,-12.1568,96.8225,25.99,69,40,7.2,CC,1694743291
49,chonchi,-42.6128,-73.8092,11.56,97,100,5.28,CL,1694743455
50,chibougamau,49.9168,-74.3659,9.79,93,100,2.06,CA,1694743455
51,labin,45.095,14.1197,18.96,82,100,3.45,HR,1694743455
52,heroica guaymas,27.9333,-110.9,33.27,55,0,3.09,MX,1694743455
53,taulaga,-11.0553,-171.0883,28.17,72,10,3.96,AS,1694743456
54,kargasok,59.0556,80.8572,12.16,81,93,0.97,RU,1694743456
55,margaret river,-33.95,115.0667,16.7,74,100,7.61,AU,1694743456
56,hawaiian paradise park,19.5933,-154.9731,28.18,78,75,5.66,US,1694743457
57,berdigestyakh,62.0989,126.6992,3.04,98,100,2.41,RU,1694743457
58,bechar,31.6167,-2.2167,19.18,77,100,5.66,DZ,1694743314
59,tolanaro,-25.0319,46.9987,21.04,88,20,8.23,MG,1694743457
60,kavieng,-2.5744,150.7967,28.12,76,94,4.84,PG,1694743458
61,shkoder,42.0683,19.5126,19.1,80,49,1.72,AL,1694743458
62,necochea,-38.5473,-58.7368,14.12,51,100,8.06,AR,1694743213
63,hamilton,39.1834,-84.5333,19.47,69,0,4.12,US,1694743066
64,vilyuchinsk,52.9306,158.4028,16.15,54,100,5.61,RU,1694743459
65,poxoreo,-15.8372,-54.3892,21.18,78,69,1.37,BR,1694743459
66,tura,25.5198,90.2201,26.58,81,29,2.36,IN,1694743459
67,wailua homesteads,22.0669,-159.378,26.53,78,75,6.69,US,1694743459
68,keflavik,64.0049,-22.5624,7.24,100,0,2.06,IS,1694743460
69,al bawiti,28.3492,28.8659,20.81,72,0,3.21,EG,1694743460
70,altai,46.3722,96.2583,7.66,52,18,2.35,MN,1694743460
71,isafjordur,66.0755,-23.124,6.39,68,13,1.81,IS,1694743460
72,mhamid,29.82,-5.72,24.09,56,87,5.81,MA,1694743461
73,talnakh,69.4865,88.3972,4.56,84,100,5.91,RU,1694743461
74,badger,64.8,-147.5333,12.85,70,75,0.0,US,1694743461
75,port hedland,-20.3167,118.5667,30.03,39,1,1.03,AU,1694743183
76,strezhevoy,60.7333,77.5889,14.98,73,94,1.79,RU,1694743462
77,whitehorse,60.7161,-135.0538,8.78,73,100,6.17,CA,1694743462
78,baqubah,33.7485,44.6554,26.9,16,0,2.97,IQ,1694743462
79,anadyr,64.75,177.4833,5.28,93,75,1.0,RU,1694743463
80,kosciusko,33.0576,-89.5876,20.23,55,100,2.24,US,1694743463
81,namtsy,62.7161,129.6658,6.6,66,46,3.7,RU,1694743463
